"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"576094","4997","2025-01-30 19:20:32","3","30","0","0","2025-01-30 21:10:35"
"576093","4839","2025-01-30 19:20:26","3","30","0","0","2025-01-30 21:10:34"
"576092","4700","2025-01-30 19:20:18","3","30","0","0","2025-01-30 21:10:34"
"576091","5280","2025-01-30 19:20:12","3","30","0","0","2025-01-30 21:10:33"
"576090","4713","2025-01-30 19:20:08","3","30","0","0","2025-01-30 21:10:32"
"576089","5069","2025-01-30 19:20:03","3","30","0","0","2025-01-30 21:10:31"
"576088","4766","2025-01-30 19:19:59","3","30","0","0","2025-01-30 21:10:31"
"576087","5050","2025-01-30 19:19:50","3","30","0","0","2025-01-30 21:10:30"
"576086","4535","2025-01-30 19:19:44","3","30","0","0","2025-01-30 21:10:29"
"576085","4478","2025-01-30 19:19:34","3","30","0","0","2025-01-30 21:10:28"
"576084","4479","2025-01-30 19:19:28","3","30","0","0","2025-01-30 21:10:27"
"576083","4617","2025-01-30 19:19:24","3","30","0","0","2025-01-30 21:10:27"
"576082","4676","2025-01-30 19:19:20","3","30","0","0","2025-01-30 21:10:26"
"576081","5253","2025-01-30 19:19:05","3","30","0","0","2025-01-30 21:10:25"
"576080","4521","2025-01-30 19:18:59","3","30","0","0","2025-01-30 21:10:24"
"576079","4608","2025-01-30 19:18:54","3","30","0","0","2025-01-30 21:10:23"
"576078","4496","2025-01-30 19:18:47","3","30","0","0","2025-01-30 21:10:22"
"576077","4955","2025-01-30 19:18:32","3","30","0","0","2025-01-30 21:10:20"
"576076","4547","2025-01-30 19:18:28","3","30","0","0","2025-01-30 21:10:20"
"576075","4546","2025-01-30 19:18:23","3","30","0","0","2025-01-30 21:10:19"
"576074","5251","2025-01-30 19:18:06","3","30","0","0","2025-01-30 21:10:18"
"576073","5250","2025-01-30 19:18:00","3","30","0","0","2025-01-30 21:10:17"
